sentTime,receivedTime,diffSeconds
2023-01-15T02:25:21.793Z,2023-01-15T02:25:24.112Z,2.319
2023-01-15T02:25:24.226Z,2023-01-15T02:25:26.567Z,2.341
2023-01-15T02:25:26.591Z,2023-01-15T02:25:29.071Z,2.48
2023-01-15T02:25:29.082Z,2023-01-15T02:25:31.514Z,2.432
2023-01-15T02:25:32.081Z,2023-01-15T02:25:34.426Z,2.345
2023-01-15T02:25:34.542Z,2023-01-15T02:25:36.870Z,2.328
2023-01-15T02:25:37.088Z,2023-01-15T02:25:39.407Z,2.319
2023-01-15T02:25:40.076Z,2023-01-15T02:25:42.442Z,2.366
2023-01-15T02:25:43.193Z,2023-01-15T02:25:45.665Z,2.472
2023-01-15T02:25:45.681Z,2023-01-15T02:25:48.144Z,2.463
2023-01-15T02:25:48.476Z,2023-01-15T02:25:51.070Z,2.594
2023-01-15T02:25:51.685Z,2023-01-15T02:25:54.035Z,2.35
2023-01-15T02:25:54.963Z,2023-01-15T02:25:57.302Z,2.339
2023-01-15T02:25:57.619Z,2023-01-15T02:26:00.082Z,2.463
2023-01-15T02:26:00.480Z,2023-01-15T02:26:02.814Z,2.334
2023-01-15T02:26:03.124Z,2023-01-15T02:26:05.477Z,2.353
2023-01-15T02:26:06.232Z,2023-01-15T02:26:08.561Z,2.329
2023-01-15T02:26:08.970Z,2023-01-15T02:26:11.286Z,2.316
2023-01-15T02:26:11.777Z,2023-01-15T02:26:14.120Z,2.343
2023-01-15T02:26:14.924Z,2023-01-15T02:26:17.277Z,2.353
2023-01-15T02:26:17.434Z,2023-01-15T02:26:19.826Z,2.392
2023-01-15T02:26:20.061Z,2023-01-15T02:26:22.410Z,2.349
2023-01-15T02:26:22.926Z,2023-01-15T02:26:25.260Z,2.334
2023-01-15T02:26:25.499Z,2023-01-15T02:26:27.852Z,2.353
2023-01-15T02:26:28.486Z,2023-01-15T02:26:30.866Z,2.38
2023-01-15T02:26:30.893Z,2023-01-15T02:26:33.242Z,2.349
2023-01-15T02:26:33.871Z,2023-01-15T02:26:36.206Z,2.335
2023-01-15T02:26:37.187Z,2023-01-15T02:26:39.518Z,2.331
2023-01-15T02:26:40.089Z,2023-01-15T02:26:42.537Z,2.448
2023-01-15T02:26:42.936Z,2023-01-15T02:26:45.302Z,2.366
2023-01-15T02:26:45.429Z,2023-01-15T02:26:47.761Z,2.332
2023-01-15T02:26:48.309Z,2023-01-15T02:26:50.651Z,2.342
2023-01-15T02:26:50.759Z,2023-01-15T02:26:53.092Z,2.333
2023-01-15T02:26:53.897Z,2023-01-15T02:26:56.245Z,2.348
2023-01-15T02:26:56.355Z,2023-01-15T02:26:58.703Z,2.348
2023-01-15T02:26:59.637Z,2023-01-15T02:27:02.011Z,2.374
2023-01-15T02:27:02.860Z,2023-01-15T02:27:05.214Z,2.354
2023-01-15T02:27:05.903Z,2023-01-15T02:27:08.247Z,2.344
2023-01-15T02:27:08.572Z,2023-01-15T02:27:10.922Z,2.35
2023-01-15T02:27:11.499Z,2023-01-15T02:27:13.839Z,2.34
2023-01-15T02:27:14.146Z,2023-01-15T02:27:16.506Z,2.36
2023-01-15T02:27:17.278Z,2023-01-15T02:27:19.685Z,2.407
